,0,1,2,3,4,5,6,7,8,9
15,0.6,0.4,1.2,1.0,1.0,1.0,2.2,0.4,2.0,0.6
16,43.6,62.2,75.6,84.8,91.2,94.0,97.6,99.0,99.6,99.8
17,1.0,0.6,0.4,1.2,0.4,1.4,2.6,2.4,2.6,1.8
18,8.2,6.0,9.4,10.2,11.2,13.4,11.8,9.2,13.8,10.2
19,10.2,20.6,32.8,43.8,49.2,59.6,70.4,81.4,88.0,93.0
20,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
21,99.0,99.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
22,82.0,86.8,92.6,96.6,97.4,98.4,99.2,99.6,99.8,99.8
23,18.0,26.8,39.6,49.6,62.2,73.0,80.2,88.0,94.2,96.6
24,0.2,1.0,1.2,4.4,1.0,1.4,1.2,1.0,1.2,1.8
25,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0
26,94.2,97.2,98.4,98.4,98.8,98.8,99.6,99.6,99.8,99.8
27,1.2,0.8,2.6,1.6,0.2,2.0,3.4,1.4,0.8,0.6
28,96.2,97.4,99.0,99.8,100.0,100.0,100.0,100.0,100.0,100.0
29,63.4,80.6,86.2,90.4,94.2,97.0,98.4,99.2,99.2,99.6
